"House of Wax","Charles Belden","Jaume Collet-Serra","Elisha Cuthbert"
"The Matrix Reloaded","Andy Wachowski","Andy Wachowski","Ray Anthony"
"The Matrix Revolutions","Andy Wachowski","Andy Wachowski","Mary Alice"
"The Matrix","Andy Wachowski","Andy Wachowski","Keanu Reeves"
"Maurice","E.M. Forster","James Ivory","James Wilby"
"Maximum Overdrive","Stephen King","Stephen King","Emilio Estevez"
"May","Lucky McKee","Lucky McKee","Angela Bettis"
"McHale's Navy","Peter Crabbe","Bryan Spicer","Tom Arnold"
"McLintock!","James Grant","Andrew McLaglen","John Wayne"
"Me  Myself & Irene","Mike Cerrone","Bobby Farrelly","Jim Carrey"
"Mean Creek","Jacob Estes","Jacob Estes","Rory Culkin"
"Mean Girls","Tina Fey","Mark Waters","Lindsay Lohan"
"Mean Streets","Mardik Martin","Martin Scorsese","De"
"The Meaning of Life","Graham Chapman","Terry Gilliam","Graham Chapman"
"The Medallion","Gordon Chan","Gordon Chan","Jackie Chan"
"Medicine Man","Sally Robinson","John McTiernan","Sean Connery"
"Meet Joe Black","Maxwell Anderson","Martin Brest","Brad Pitt"
"Meet Me in St. Louis","Sally Benson","Vincente Minnelli","Judy Garland"
"Meet the Feebles","Peter Jackson","Peter Jackson","Danny Mulheron"
"Meet the Fockers","Mary Clarke","Jay Roach","De"
"Meet the Parents","Mary Clarke","Jay Roach","De"
"Megiddo: The Omega Code 2","Hollis Barton","Paul Lombardi","Michael York"
"Memento","Christopher Nolan","Christopher Nolan","Guy Pearce"
"Memoirs of an Invisible Man","Robert Collector","John Carpenter","Chevy Chase"
"Men in Black","Lowell Cunningham","Barry Sonnenfeld","Tommy Jones"
"Men in Black II","Lowell Cunningham","Barry Sonnenfeld","Tommy Jones"
"Men of Honor","Scott Smith"," Tillman","De"
"Men with Brooms","Paul Gross","Paul Gross","James Douglas"
"Menace II Society","Albert Hughes","Albert Hughes","Tyrin Turner"
"Meng long guojiang"," "," ",""
"The Merchant of Venice","Michael Radford","Michael Radford","Al Pacino"
"Mercury Rising","Lawrence Konner","Harold Becker","Bruce Willis"
"Message in a Bottle"," Di","Luis Mandoki","Kevin Costner"
"The Message"," "," ",""
"Meteor","Stanley Mann","Ronald Neame","Sean Connery"
"Metoroporisu","Marc Handler","Rintaro","Yuka Imoto"
"Metro","Randy Feldman","Thomas Carter","Eddie Murphy"
"Metropolitan","Whit Stillman","Whit Stillman","Carolyn Farina"
"The Mexican","J.H. Wyman","Gore Verbinski","Brad Pitt"
"Michael Collins","Neil Jordan","Neil Jordan","Ian Hart"
"Michael Moore Hates America","Michael Wilson","Michael Wilson","Mike Abraham"
"Mickey Blue Eyes","Robert Kuhn","Kelly Makin","Hugh Grant"
"A Midnight Clear","Keith Gordon","Keith Gordon","Peter Berg"
"Midnight Cowboy","James Herlihy","John Schlesinger","Dustin Hoffman"
"Midnight Express","Billy Hayes","Alan Parker","Brad Davis"
"Midnight Run","George Gallo","Martin Brest","De"
"Midnight in the Garden of Good and Evil","John Berendt","Clint Eastwood","John Cusack"
"Mighty Aphrodite","Woody Allen","Woody Allen","Pamela Blair"
"Mighty Joe Young","Merian Cooper","Ron Underwood","Charlize Theron"
"Mildred Pierce","James Cain","Michael Curtiz","Joan Crawford"
"Miller's Crossing","Ethan Coen","Ethan Coen","Gabriel Byrne"
"Million Dollar Baby","Paul Haggis","Clint Eastwood","Clint Eastwood"
"The Million Dollar Hotel","Bono","Wim Wenders","Jeremy Davies"
"Mimic"," del"," del","Mira Sorvino"
"Mindhunters","Kevin Brodbin","Renny Harlin","Eion Bailey"
"Minority Report","Jon Cohen","Steven Spielberg","Tom Cruise"
"Miracle Mile"," De"," De","Anthony Edwards"
"The Miracle Worker","William Gibson","Arthur Penn","Anne Bancroft"
"The Mirror Has Two Faces"," "," ",""
"Misery","William Goldman","Rob Reiner","James Caan"
"The Misfits","Arthur Miller","John Huston","Clark Gable"
"Mishima: A Life in Four Chapters","Yukio Mishima","Paul Schrader","Ken Ogata"
"Miss Congeniality","Katie Ford","Donald Petrie","Sandra Bullock"
"Mission to Mars","Lowell Cannon"," De","Gary Sinise"
"Mission: Impossible","Bruce Geller"," De","Tom Cruise"
"Mission: Impossible II","Brannon Braga","John Woo","Tom Cruise"
"Mississippi Burning","Chris Gerolmo","Alan Parker","Gene Hackman"
"Mo' Better Blues","Spike Lee","Spike Lee","Denzel Washington"
"Mo' Money","Damon Wayans","Peter MacDonald","Damon Wayans"
"Moby Dick","Ray Bradbury","John Huston","Gregory Peck"
"Modern Times","Charles Chaplin","Charles Chaplin","Charles Chaplin"
"Modern Vampires"," "," ",""
"Mommie Dearest","Christina Crawford","Frank Perry","Faye Dunaway"
"Mona Lisa Smile","Lawrence Konner","Mike Newell","Julia Roberts"
"The Money Pit","David Giler","Richard Benjamin","Tom Hanks"
"Money Talks","Joel Cohen","Brett Ratner","Chris Tucker"
"Money Train","David Loughery","Joseph Ruben","Wesley Snipes"
"Monkey Shines","George Romero","George Romero","Jason Beghe"
"Monkeybone","Kaja Blackley","Henry Selick","Brendan Fraser"
"Monsieur Verdoux","Charles Chaplin","Charles Chaplin","Charles Chaplin"
"Monster","Patty Jenkins","Patty Jenkins","Charlize Theron"
"Monster's Ball","Milo Addica","Marc Forster","Billy Thornton"
"Monsters  Inc.","Robert Baird","Pete Docter","John Goodman"
"Monty Python and the Holy Grail","Graham Chapman","Terry Gilliam","Graham Chapman"
"Moonlight Mile","Brad Silberling","Brad Silberling","Jake Gyllenhaal"
"Moonraker","Ian Fleming","Lewis Gilbert","Roger Moore"
"More American Graffiti","Willard Huyck","Bill Norton","Candy Clark"
"Mortal Kombat","Ed Boon","Paul Anderson","Christopher Lambert"
"Mortal Kombat: Annihilation","Ed Boon","John Leonetti","Robin Shou"
"The Mosquito Coast","Paul Schrader","Peter Weir","Harrison Ford"
"Motel Hell","Frank Cotolo","Kevin Connor","Rory Calhoun"
"Mother Night"," Vonnegut","Keith Gordon","Nick Nolte"
"The Mothman Prophecies","Richard Hatem","Mark Pellington","Richard Gere"
"Moulin Rouge","John Huston","John Huston","Jos Ferrer"
"Moulin Rouge!","Baz Luhrmann","Baz Luhrmann","Nicole Kidman"
"Mousehunt","Adam Rifkin","Gore Verbinski","Nathan Lane"
"Mr 3000","Eric Champnella"," Stone","Bernie Mac"
"Mr. Deeds","Tim Herlihy","Steven Brill","Adam Sandler"
"Mr. Smith Goes to Washington","Sidney Buchman","Frank Capra","Jean Arthur"
"Mrs. Winterbourne","Lisa-Maria Radano","Richard Benjamin","Shirley MacLaine"
"Much Ado About Nothing","Kenneth Branagh","Kenneth Branagh","Richard Briers"
"Mujeres al borde de un ataque de nervios"," "," ",""
"Mulan","Julius Aguimatang","Tony Bancroft","Ming-Na Wen"
"Mulholland Dr.","David Lynch","David Lynch","Naomi Watts"
"Multiplicity","Lowell Ganz","Harold Ramis","Michael Keaton"
"Mumford","Lawrence Kasdan","Lawrence Kasdan","Loren Dean"
"The Mummy Returns","Stephen Sommers","Stephen Sommers","Brendan Fraser"
"The Mummy","John Balderston","Karl Freund","Boris Karloff"
"The Mummy","John Balderston","Stephen Sommers","Brendan Fraser"
"Muppets From Space"," "," ",""
"Murder by Numbers","Tony Gayton","Barbet Schroeder","Sandra Bullock"
"Muriel's Wedding","P.J. Hogan","P.J. Hogan","Sophie Lee"
"Musa","Sung-su Kim","Sung-su Kim","Woo-sung Jung"
"The Muse","Albert Brooks","Albert Brooks","Albert Brooks"
"Music of the Heart","Pamela Gray","Wes Craven","Meryl Streep"
"The Musketeer"," "," ",""
"Mute Witness"," "," ",""
"Mutiny on the Bounty","Margaret Booth","Frank Lloyd","Charles Laughton"
"Mutiny on the Bounty","Eric Ambler","Lewis Milestone","Marlon Brando"
"My Beautiful Laundrette","Hanif Kureishi","Stephen Frears","Daniel Day-Lewis"
"My Best Friend's Wedding","Ronald Bass","P.J. Hogan","Julia Roberts"
"My Big Fat Greek Wedding","Nia Vardalos","Joel Zwick","Nia Vardalos"
"My Boss's Daughter","David Dorfman","David Zucker","Mark Aisbett"
"My Cousin Vinny","Dale Launer","Jonathan Lynn","Joe Pesci"
"My Dog Skip","Gail Gilchriest","Jay Russell","Frankie Muniz"
"My Fair Lady","Alan Lerner","George Cukor","Audrey Hepburn"
"My Family","Gregory Nava","Gregory Nava","Edward Olmos"
"My Favorite Martian","John Greene","Donald Petrie","Christopher Lloyd"
"My Fellow Americans","Richard Chapman","Peter Segal","Jack Lemmon"
"My Girl","Laurice Elehwany","Howard Zieff","Dan Aykroyd"
"My Little Eye","David Hilton","Marc Evans","Sean Johnson"
"My Own Private Idaho","William Shakespeare"," Van","River Phoenix"
"My Stepmother Is an Alien","Timothy Harris","Richard Benjamin","Dan Aykroyd"
"Mystery Men","Bob Burden","Kinka Usher","Ben Stiller"
"Mystery Train","Jim Jarmusch","Jim Jarmusch","Masatoshi Nagase"
"Mystery  Alaska","David Kelley","Jay Roach","Russell Crowe"
"Mystic Pizza"," Holden","Donald Petrie","Annabeth Gish"
"Mystic River","Brian Helgeland","Clint Eastwood","Sean Penn"
"Nadja"," "," ",""
"Naked Gun 33 1/3: The Final Insult","Jim Abrahams","Peter Segal","Leslie Nielsen"
"Der Name der Rose","Andrew Birkin","Jean-Jacques Annaud","Sean Connery"
"Nanook of the North","Frances Flaherty","Robert Flaherty","Allakariallak"
"Napoleon Dynamite","Jared Hess","Jared Hess","Jon Heder"
"Narc","Joe Carnahan","Joe Carnahan","Dan Leis"
"National Treasure","Oren Aviv","Jon Turteltaub","Nicolas Cage"
"Natural Born Killers","Richard Rutowski","Oliver Stone","Woody Harrelson"
"The Natural","Phil Dusenberry","Barry Levinson","Robert Redford"
"The Navigator","Clyde Bruckman","Donald Crisp","Buster Keaton"
"Near Dark","Kathryn Bigelow","Kathryn Bigelow","Adrian Pasdar"
"The Negotiator","James DeMonaco","F. Gray","Samuel Jackson"
"Neighbors","Thomas Berger","John Avildsen","John Belushi"
"The Net","John Brancato","Irwin Winkler","Sandra Bullock"
"Network","Paddy Chayefsky","Sidney Lumet","Faye Dunaway"
"Never Say Never Again","Dick Clement","Irvin Kershner","Sean Connery"
"The NeverEnding Story II: The Next Chapter"," "," ",""
"The NeverEnding Story III"," "," ",""
"The New Guy","David Kendall","Ed Decter","DJ Qualls"
"New Jack City","Barry Cooper"," Van","Wesley Snipes"
"New York Stories","Woody Allen","Woody Allen","Woody Allen"
"New York  New York","Mardik Martin","Martin Scorsese","Liza Minnelli"
"Newsies","Bob Tzudiker","Kenny Ortega","Christian Bale"
"The Newton Boys","Richard Linklater","Richard Linklater","Matthew McConaughey"
"The Next Best Thing","Tom Ropelewski","John Schlesinger","Madonna"
"Next Friday","Cube Ice","Steve Carr","Cube Ice"
"Next Stop Wonderland","Brad Anderson","Brad Anderson","Hope Davis"
"Niagara","Charles Brackett","Henry Hathaway","Marilyn Monroe"
"Nicholas Nickleby","Charles Dickens","Douglas McGrath","Stella Gonet"
"Night Train to Mundo Fine","Coleman Francis","Coleman Francis","Coleman Francis"
"A Night at the Roxbury","Will Ferrell","John Fortenberry","Will Ferrell"
"Night of the Demons","Joe Augustyn","Kevin Tenney","Hal Havins"
"The Night of the Hunter","James Agee","Charles Laughton","Robert Mitchum"
"The Night of the Iguana","John Huston","John Huston","Richard Burton"
"Night of the Living Dead","George Romero","George Romero","Duane Jones"
"Night of the Living Dead","George Romero","Tom Savini","Tony Todd"
"A Night to Remember","Eric Ambler","Roy Baker","Kenneth More"
"The Nightmare Before Christmas","Tim Burton","Henry Selick","Danny Elfman"
"A Nightmare On Elm Street 3: Dream Warriors"," "," ",""
"A Nightmare On Elm Street 4: The Dream Master"," "," ",""
"A Nightmare On Elm Street Part 2: Freddy's Revenge"," "," ",""
"A Nightmare On Elm Street"," "," ",""
"A Nightmare On Elm Street: The Dream Child"," "," ",""
"Nil by Mouth","Gary Oldman","Gary Oldman","Ray Winstone"
"Ninotchka","Charles Brackett","Ernst Lubitsch","Greta Garbo"
"The Ninth Gate","John Brownjohn","Roman Polanski","Johnny Depp"
"Nixon","Stephen Rivele","Oliver Stone","Anthony Hopkins"
"No Escape","Michael Gaylin","Martin Campbell","Ray Liotta"
"No Looking Back","Edward Burns","Edward Burns","Lauren Holly"
"Nochnoy dozor","Timur Bekmambetov","Timur Bekmambetov","Konstantin Khabenskiy"
"North","Andrew Scheinman","Rob Reiner","Elijah Wood"
"North by Northwest","Ernest Lehman","Alfred Hitchcock","Cary Grant"
"North to Alaska","Claude Binyon","Henry Hathaway","John Wayne"
"Northfork","Mark Polish","Michael Polish","James Woods"
"Not Another Teen Movie","Phil Beauman","Joel Gallen","Chyler Leigh"
"The Notebook","Jeremy Leven","Nick Cassavetes","Tim Ivey"
"Nothing But Trouble","Dan Aykroyd","Dan Aykroyd","Chevy Chase"
"Notorious","John Foote","Alfred Hitchcock","Cary Grant"
"Notting Hill","Richard Curtis","Roger Michell","Julia Roberts"
"Novocaine","David Atkins","David Atkins","Chelcie Ross"
"Nueve reinas"," "," ",""
"The Nun's Story","Robert Anderson","Fred Zinnemann","Audrey Hepburn"
"Nurse Betty","James Flamberg","Neil LaBute","Morgan Freeman"
"Nutty Professor II: The Klumps","Barry Blaustein","Peter Segal","Eddie Murphy"
"The Nutty Professor","Barry Blaustein","Tom Shadyac","Eddie Murphy"
"O","Brad Kaaya","Tim Nelson","Mekhi Phifer"
"O Brother  Where Art Thou?","Ethan Coen","Ethan Coen","George Clooney"
"The Object of My Affection","Stephen McCauley","Nicholas Hytner","Paul Rudd"
"Obsession"," De"," De","Cliff Robertson"
"Ocean's Eleven","Harry Brown","Steven Soderbergh","George Clooney"
"Ocean's Twelve","George Johnson","Steven Soderbergh","Brad Pitt"
"Octopussy","Ian Fleming","John Glen","Roger Moore"
"Office Space","Mike Judge","Mike Judge","Ron Livingston"
"Oklahoma!"," Hammerstein","Fred Zinnemann","Gordon MacRae"
"Old School","Scot Armstrong","Todd Phillips","Luke Wilson"
"Oliver!","Lionel Bart","Carol Reed","Ron Moody"
"The Omega Code","Hollis Barton","Robert Marcarelli","Van"
"The Omen","David Seltzer","Richard Donner","Gregory Peck"
"On Her Majesty's Secret Service","Ian Fleming","Peter Hunt","George Lazenby"
"On the Line","Eric Aronson","Eric Bross","Lance Bass"
"On the Town","Betty Comden","Stanley Donen","Gene Kelly"
"On the Waterfront","Malcolm Johnson","Elia Kazan","Marlon Brando"
"Once Bitten","Jeffrey Hause","Howard Storm","Lauren Hutton"
"Once Upon a Time in America","Franco Arcalli","Sergio Leone","De"
"Once Upon a Time in Mexico","Robert Rodriguez","Robert Rodriguez","Antonio Banderas"
"One Eight Seven","Scott Yagemann","Kevin Reynolds","Samuel Jackson"
"One Flew Over the Cuckoo's Nest","Bo Goldman","Milos Forman","Michael Berryman"
"One Hour Photo","Mark Romanek","Mark Romanek","Robin Williams"
"One Hundred and One Dalmatians","Bill Peet","Clyde Geronimi","Rod Taylor"
"One Night Stand","Mike Figgis","Mike Figgis","Wesley Snipes"
"One True Thing","Karen Croner","Carl Franklin","Meryl Streep"
"One from the Heart"," "," ",""
"Two One"," "," ",""
"Onegin","Peter Ettedgui","Martha Fiennes","Ralph Fiennes"
"Open Range","Lauran Paine","Kevin Costner","Robert Duvall"
"Open Water","Chris Kentis","Chris Kentis","Blanchard Ryan"
"Opera","Dario Argento","Dario Argento","Cristina Marsillach"
"Orange County","Mike White","Jake Kasdan","Colin Hanks"
"The Order","Brian Helgeland","Brian Helgeland","Heath Ledger"
"Ordinary People","Nancy Dowd","Robert Redford","Donald Sutherland"
"Orgazmo","Trey Parker","Trey Parker","Trey Parker"
"The Original Kings of Comedy","Entertainer Cedric","Spike Lee","Steve Harvey"
"Original Sin","Michael Cristofer","Michael Cristofer","Antonio Banderas"
"Orlando","Sally Potter","Sally Potter","Tilda Swinton"
"Osama","Siddiq Barmak","Siddiq Barmak","Marina Golbahari"
"Osmosis Jones","Marc Hyman","Bobby Farrelly","Chris Rock"
"Othello","Oliver Parker","Oliver Parker","Laurence Fishburne"
"The Other Side of Heaven","Mitch Davis","Mitch Davis","Christopher Gorham"
"The Others"," "," ",""
"Out Cold","Jon Zack","Brendan Malloy","Flex Alexander"
"Out for a Kill"," "," ",""
"Out of Africa","Karen Blixen","Sydney Pollack","Meryl Streep"
"Out of Sight","Scott Frank","Steven Soderbergh","George Clooney"
"The Out-of-Towners","Marc Lawrence","Sam Weisman","Steve Martin"
"Outbreak","Laurence Dworet","Wolfgang Petersen","Dustin Hoffman"
"Outfoxed: Rupert Murdoch's War on Journalism"," ","Robert Greenwald","Roger Ailes"
"Outland","Peter Hyams","Peter Hyams","Sean Connery"
"Outside Providence","Michael Corrente","Michael Corrente","Shawn Hatosy"
"The Outsiders","S.E. Hinton","Francis Coppola","C. Howell"
"Overnight Delivery","Steve Bloom","Jason Bloom","Paul Rudd"
"Owning Mahowny","Maurice Chauvet","Richard Kwietniowski","Philip Hoffman"
"PCU","Adam Leff","Hart Bochner","Jeremy Piven"
"The Pacifier","Robert Garant","Adam Shankman","Vin Diesel"
"Paint Your Wagon","Paddy Chayefsky","Joshua Logan","Lee Marvin"
"Pale Rider","Michael Butler","Clint Eastwood","Clint Eastwood"
"Panic","Henry Bromell","Henry Bromell","William Macy"
"Panic Room","David Koepp","David Fincher","Jodie Foster"
"Paparazzi","Forry Smith","Paul Abascal","Cole Hauser"
"Papillon"," "," ",""
"The Paradine Case","James Bridie","Alfred Hitchcock","Gregory Peck"
"Parents","Christopher Hawthorne","Bob Balaban","Randy Quaid"
"Paris - When It Sizzles","George Axelrod","Richard Quine","William Holden"
"Party Monster","Fenton Bailey","Fenton Bailey","Seth Green"
"The Party","Blake Edwards","Blake Edwards","Peter Sellers"
"The Passion of the Christ","Benedict Fitzgerald","Mel Gibson","Jim Caviezel"
"Pat Garrett and Billy the Kid"," "," ",""
"Patch Adams","Patch Adams","Tom Shadyac","Robin Williams"
"Paths of Glory","Humphrey Cobb","Stanley Kubrick","Kirk Douglas"
"Patriot Games","Tom Clancy","Phillip Noyce","Harrison Ford"
"The Patriot","Robert Rodat","Roland Emmerich","Mel Gibson"
"Patton","Omar Bradley","Franklin Schaffner","George Scott"
"The Pawnbroker","Morton Fine","Sidney Lumet","Rod Steiger"
"Pay It Forward","Leslie Dixon","Mimi Leder","Kevin Spacey"
"Payback"," "," ",""
"Paycheck","Philip Dick","John Woo","Ben Affleck"
"The Peacemaker","Andrew Cockburn","Mimi Leder","George Clooney"
"Pearl Harbor","Randall Wallace","Michael Bay","Ben Affleck"
"Pecker","John Waters","John Waters","Edward Furlong"
"Pee-wee's Big Adventure","Phil Hartman","Tim Burton","Paul Reubens"
"Peggy Sue Got Married","Jerry Leichtling","Francis Coppola","Kathleen Turner"
"Pennies from Heaven","Dennis Potter","Herbert Ross","Steve Martin"
"Per un pugno di dollari","Adriano Bolzoni","Sergio Leone","Clint Eastwood"
"The Perfect Storm","Sebastian Junger","Wolfgang Petersen","George Clooney"
"The Pest","David Katz","Paul Miller","John Leguizamo"
"Pet Sematary","Stephen King","Mary Lambert","Dale Midkiff"
"Pet Sematary II","Richard Outten","Mary Lambert","Edward Furlong"
"Pete's Dragon","S.S. Field","Don Chaffey","Helen Reddy"
"Peter Pan","Milt Banta","Clyde Geronimi","Bobby Driscoll"
"Peter Pan","J.M. Barrie","P.J. Hogan","Jason Isaacs"
"The Petrified Forest","Delmer Daves","Archie Mayo","Leslie Howard"
"Phantasm","Don Coscarelli","Don Coscarelli","A. Baldwin"
"Phantasm II","Don Coscarelli","Don Coscarelli","Le"
"Phantom of the Opera","Samuel Hoffenstein","Arthur Lubin","Nelson Eddy"
"The Phantom of the Opera"," "," ",""
"Phantom of the Paradise"," De"," De","William Finley"
"The Phantom","Jeffrey Boam","Simon Wincer","Billy Zane"
"Phenomena","Dario Argento","Dario Argento","Jennifer Connelly"
"Phenomenon"," Di","Jon Turteltaub","John Travolta"
"Philadelphia","Ron Nyswaner","Jonathan Demme","Tom Hanks"
"Phone Booth","Larry Cohen","Joel Schumacher","Colin Farrell"
"Pi","Darren Aronofsky","Darren Aronofsky","Sean Gullette"
"The Pianist","Ronald Harwood","Roman Polanski","Adrien Brody"
"The Piano","Jane Campion","Jane Campion","Holly Hunter"
"The Pick-up Artist","James Toback","James Toback","Molly Ringwald"
"Picture Perfect","Glenn Caron","Glenn Caron","Jennifer Aniston"
"The Picture of Dorian Gray","Albert Lewin","Albert Lewin","George Sanders"
"Pieces of April","Peter Hedges","Peter Hedges","Katie Holmes"
"Pierrot le fou","Jean-Luc Godard","Jean-Luc Godard","Jean-Paul Belmondo"
"Pink Flamingos","John Waters","John Waters","(I) Divine"
"The Pink Panther Strikes Again","Blake Edwards","Blake Edwards","Peter Sellers"
"Pinocchio","Aurelius Battaglia","Norman Ferguson","Mel Blanc"
"Piranha","Richard Robinson","Joe Dante","Bradford Dillman"
"Pirates"," "," ",""
"Pirates of the Caribbean: The Curse of the Black Pearl","Stuart Beattie","Gore Verbinski","Johnny Depp"
"Pit and the Pendulum","Richard Matheson","Roger Corman","Vincent Price"
"Pitch Black","David Twohy","David Twohy","Vin Diesel"
"A Place in the Sun","Harry Brown","George Stevens","Montgomery Clift"
"Plan 9 from Outer Space"," Wood"," Wood","Gregory Walcott"
"Planet of the Apes","Pierre Boulle","Franklin Schaffner","Charlton Heston"
"Planet of the Apes"," "," ",""
"Platoon","Oliver Stone","Oliver Stone","Tom Berenger"
"Play It to the Bone","Ron Shelton","Ron Shelton","Antonio Banderas"
"Playing by Heart","Willard Carroll","Willard Carroll","Angelina Jolie"
"Pleasantville","Gary Ross","Gary Ross","Tobey Maguire"
"The Pledge"," "," ",""
"Pocahontas","Carl Binder","Mike Gabriel","Irene Bedard"
"Pocketful of Miracles","Jimmy Cannon","Frank Capra","Glenn Ford"
"Poetic Justice","John Singleton","John Singleton","Janet Jackson"
"Point Blank","Alexander Jacobs","John Boorman","Lee Marvin"
"Point Break","W. Iliff","Kathryn Bigelow","Patrick Swayze"
"Poison Ivy","Melissa Goddard","Katt Shea","Sara Gilbert"
"The Polar Express"," Broyles","Robert Zemeckis","Tom Hanks"
"Police Academy","Neal Israel","Hugh Wilson","Steve Guttenberg"
"Pollock","Susan Emshwiller","Ed Harris","Ed Harris"
"Poltergeist","Michael Grais","Tobe Hooper","Craig Nelson"
"Poltergeist II: The Other Side","Michael Grais","Brian Gibson","JoBeth Williams"
"Poltergeist III","Steve Feke","Gary Sherman","Tom Skerritt"
"Polyester","John Waters","John Waters","(I) Divine"
"Poolhall Junkies","Mars Callahan","Mars Callahan","Chazz Palminteri"
"Pootie Tang","Louis C.K.","Louis C.K.","Lance Crouther"
"Popeye","Jules Feiffer","Robert Altman","Robin Williams"
"Porky's"," "," ",""
"Porky's II: The Next Day","Bob Clark","Bob Clark","Dan Monahan"
"Porky's Revenge","Bob Clark","James Komack","Dan Monahan"
"Portrait of Jennie","Leonardo Bercovici","William Dieterle","Jennifer Jones"
"The Poseidon Adventure","Paul Gallico","Irwin Allen","Gene Hackman"
"Il Postino"," "," ",""
"The Postman","David Brin","Kevin Costner","Kevin Costner"
"The Powerpuff Girls"," "," ",""
"Practical Magic","Adam Brooks","Griffin Dunne","Sandra Bullock"
"Predator","Jim Thomas","John McTiernan","Arnold Schwarzenegger"
"Prefontaine","Eugene Corr","Steve James","Jared Leto"
"Pretty Woman","J.F. Lawton","Garry Marshall","Richard Gere"
"Primal Fear","Ann Biderman","Gregory Hoblit","Richard Gere"
"Primary Colors","Joe Klein","Mike Nichols","John Travolta"
"Primer","Shane Carruth","Shane Carruth","Shane Carruth"
"Prince of Darkness","John Carpenter","John Carpenter","Donald Pleasence"
"The Prince of Egypt","Philip LaZebnik","Brenda Chapman","Val Kilmer"
"The Prince of Tides","Pat Conroy","Barbra Streisand","Nick Nolte"
"The Princess Bride","William Goldman","Rob Reiner","Cary Elwes"
"The Princess Diaries 2: Royal Engagement","Meg Cabot","Garry Marshall","Anne Hathaway"
"The Princess Diaries","Meg Cabot","Garry Marshall","Julie Andrews"
"The Private Life of Sherlock Holmes"," Conan","Billy Wilder","Robert Stephens"
"Private Parts","Len Blum","Betty Thomas","Howard Stern"
"The Producers"," "," ",""
"Proof of Life","Tony Gilroy","Taylor Hackford","Meg Ryan"
"The Prophecy","Gregory Widen","Gregory Widen","Christopher Walken"
"Prozac Nation"," "," ",""
"Psycho","Robert Bloch","Alfred Hitchcock","Anthony Perkins"
