"House of Wax","Charles Belden","Jaume Collet-Serra","Elisha Cuthbert"
"Steel","Jon Bogdanove","Kenneth Johnson","Shaquille O'Neal"
"The Stepford Wives","Ira Levin","Frank Oz","Nicole Kidman"
"Stepmom","Ronald Bass","Chris Columbus","Julia Roberts"
"Stigmata","Tom Lazarus","Rupert Wainwright","Patricia Arquette"
"The Sting","David Ward","George Hill","Paul Newman"
"Stir of Echoes","David Koepp","David Koepp","Zachary Cope"
"Stolen Summer","Pete Jones","Pete Jones","Aidan Quinn"
"The Story of Us","Jessie Nelson","Rob Reiner","Bruce Willis"
"The Straight Story","John Roach","David Lynch","Sissy Spacek"
"Strange Days","James Cameron","Kathryn Bigelow","Ralph Fiennes"
"Strangeland","Dee Snider","John Pieplow","Kevin Gage"
"Stranger Than Paradise"," ","Jim Jarmusch",""
"Strangers on a Train","Raymond Chandler","Alfred Hitchcock","Farley Granger"
"Straw Dogs","David Goodman","Sam Peckinpah","Dustin Hoffman"
"A Streetcar Named Desire","Oscar Saul","Elia Kazan","Vivien Leigh"
"Streets of Fire","Larry Gross","Walter Hill","Bill Murray"
"Stripes","Len Blum","Ivan Reitman","Bill Murray"
"Striptease","Andrew Bergman","Andrew Bergman","Demi Moore"
"Stuart Little","Greg Brooker","Rob Minkoff","Michael Fox"
"Stuart Little 2","Bruce Rubin","Rob Minkoff","Michael Fox"
"The Stuff","Larry Cohen","Larry Cohen","Michael Moriarty"
"The Stupids","Harry Allard","John Landis","Tom Arnold"
"Suddenly  Last Summer","Gore Vidal","Joseph Mankiewicz","Elizabeth Taylor"
"Sugar & Spice","Mandy Nelson","Francine McDougall","Marla Sokoloff"
"The Sugarland Express","Hal Barwood","Steven Spielberg","Goldie Hawn"
"Suicide Kings","Gina Goldman","Peter O'Fallon","Mark Watson"
"Sullivan's Travels","Preston Sturges","Preston Sturges","Joel McCrea"
"The Sum of All Fears","Paul Attanasio","Phil Robinson","Ian Mongrain"
"Summer Catch","Kevin Falls","Michael Tollin","Prinze"
"Summer of Sam","Victor Colicchio","Spike Lee","John Leguizamo"
"Sunset Blvd.","Charles Brackett","Billy Wilder","William Holden"
"Sunshine State","John Sayles","John Sayles","Alex Lewis"
"Super Mario Bros.","Parker Bennett","Annabel Jankel","Bob Hoskins"
"Super Size Me","Morgan Spurlock","Morgan Spurlock","Chemeeka Walker"
"Super Troopers"," "," ",""
"Supergirl","Otto Binder","Jeannot Szwarc","Faye Dunaway"
"Superman","Robert Benton","Richard Donner","Marlon Brando"
"Superman II","Tom Mankiewicz","Richard Donner","Gene Hackman"
"Superstar","Steve Koren","Bruce McCulloch","Molly Shannon"
"Surviving Picasso","Arianna Huffington","James Ivory","Anthony Hopkins"
"Suspect Zero","Zak Penn","E. Merhige","Aaron Eckhart"
"Swamp Thing","Wes Craven","Wes Craven","Louis Jourdan"
"The Swarm"," Herzog","Irwin Allen","Michael Caine"
"Sweet Charity","Federico Fellini","Bob Fosse","Shirley MacLaine"
"Sweet Home Alabama","C. Cox","Andy Tennant","Reese Witherspoon"
"Sweet November","Herman Raucher","Pat O'Connor","Keanu Reeves"
"The Sweetest Thing","Nancy Pimental","Roger Kumble","Lillian Adams"
"Swept Away","Guy Ritchie","Guy Ritchie","Bruce Greenwood"
"Swimfan","Charles Bohl","John Polson","Jesse Bradford"
"Swimming with Sharks","George Huang","George Huang","Kevin Spacey"
"Swing Time","Erwin Gelsey","George Stevens","Fred Astaire"
"Swingers","Jon Favreau","Doug Liman","Jon Favreau"
"Swiri","Je-kyu Kang","Je-kyu Kang","Suk-kyu Han"
"Switchback","Jeb Stuart","Jeb Stuart","Claudia Stedelin"
"Swordfish","Skip Woods","Dominic Sena","John Travolta"
"THX 1138","George Lucas","George Lucas","Robert Duvall"
"Tadpole"," "," ",""
"Taegukgi hwinalrimyeo","Richard Epcar","Je-kyu Kang","Dong-gun Jang"
"The Tailor of Panama","John Boorman","John Boorman","Pierce Brosnan"
"Take the Money and Run","Woody Allen","Woody Allen","Woody Allen"
"The Talented Mr. Ripley","Patricia Highsmith","Anthony Minghella","Matt Damon"
"Talk Radio","Eric Bogosian","Oliver Stone","Eric Bogosian"
"Tang shan da xiong","Wei Lo","Wei Lo","Bruce Lee"
"Tango & Cash","Randy Feldman","Andrey Konchalovskiy","Sylvester Stallone"
"Tank Girl","Jamie Hewlett","Rachel Talalay","Lori Petty"
"Targets","Peter Bogdanovich","Peter Bogdanovich","Tim O'Kelly"
"Tart","Christina Wayne","Christina Wayne","Dominique Swain"
"Tarzan","Stephen Anderson","Chris Buck","Brian Blessed"
"Taxi Driver","Paul Schrader","Martin Scorsese","Diahnne Abbott"
"Tea with Mussolini","John Mortimer","Franco Zeffirelli","(I) Cher"
"Teaching Mrs. Tingle","Kevin Williamson","Kevin Williamson","Helen Mirren"
"Team America: World Police","Pam Brady","Trey Parker","Trey Parker"
"Tears of the Sun","Patrick Cirillo","Antoine Fuqua","Bruce Willis"
"Ted Bundy","Matthew Bright","Matthew Bright","Michael Burke"
"Teen Wolf Too","Tim Kring","Christopher Leitch","Jason Bateman"
"Teenage Mutant Ninja Turtles","Kevin Eastman","Steve Barron","Judith Hoag"
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","Kevin Eastman","Michael Pressman","Paige Turco"
"Telling Lies in America","Joe Eszterhas","Guy Ferland","Kevin Bacon"
"The Temp","Tom Engelman","Tom Holland","Timothy Hutton"
"The Ten Commandments","Fredric Frank","Cecil DeMille","Charlton Heston"
"The Terminal","Sacha Gervasi","Steven Spielberg","Tom Hanks"
"Terminator 2: Judgment Day","James Cameron","James Cameron","Arnold Schwarzenegger"
"Terminator 3: Rise of the Machines","John Brancato","Jonathan Mostow","Arnold Schwarzenegger"
"The Terminator","James Cameron","James Cameron","Arnold Schwarzenegger"
"The Texas Chain Saw Massacre","Kim Henkel","Tobe Hooper","Marilyn Burns"
"The Texas Chainsaw Massacre 2","L.M. Carson","Tobe Hooper","Dennis Hopper"
"The Texas Chainsaw Massacre","Kim Henkel","Marcus Nispel","Jessica Biel"
"Texas Rangers","Scott Busby","Steve Miner","Beek Van"
"That Thing You Do!","Tom Hanks","Tom Hanks","Everett"
"Thelma & Louise","Callie Khouri","Ridley Scott","Susan Sarandon"
"There's Something About Mary","Ed Decter","Bobby Farrelly","Cameron Diaz"
"They","Brendan Hood","Robert Harmon","Laura Regan"
"They Died with Their Boots On","Lenore Coffee","Raoul Walsh","Errol Flynn"
"They Drive by Night","A.I. Bezzerides","Raoul Walsh","George Raft"
"They Live","John Carpenter","John Carpenter","Roddy Piper"
"The Thin Red Line","James Jones","Terrence Malick","Nick Nolte"
"The Thing Called Love","Carol Heikkinen","Peter Bogdanovich","River Phoenix"
"The Thing"," Campbell","John Carpenter","Kurt Russell"
"Things to Do in Denver When You're Dead","Scott Rosenberg","Gary Fleder","Andy Garcia"
"Thir13en Ghosts","Richard D'Ovidio","Steve Beck","Tony Shalhoub"
"Thirteen","Catherine Hardwicke","Catherine Hardwicke","Nikki Reed"
"Thirteen Conversations About One Thing","Jill Sprecher","Jill Sprecher","Matthew McConaughey"
"Thirteen Days","Ernest May","Roger Donaldson","Shawn Driscoll"
"The Thirteenth Floor","Ravel Centeno-Rodriguez","Josef Rusnak","Craig Bierko"
"This Island Earth","George Callahan","Joseph Newman","Jeff Morrow"
"The Thomas Crown Affair","Alan Trustman","Norman Jewison","Steve McQueen"
"The Thomas Crown Affair","Leslie Dixon","John McTiernan","Pierce Brosnan"
"Thoroughly Modern Millie","Richard Morris","George Hill","Julie Andrews"
"Those Magnificent Men in Their Flying Machines  or How I Flew from London to Paris in 25 hours 11 minutes"," "," ",""
"Three Fugitives","Francis Veber","Francis Veber","Nick Nolte"
"Three Kings","John Ridley","David Russell","George Clooney"
"Three to Tango"," Brosh","Damon Santostefano","Matthew Perry"
"Thunderball","Ian Fleming","Terence Young","Sean Connery"
"Thunderbirds","Gerry Anderson","Jonathan Frakes","Brady Corbet"
"Thunderbolt and Lightfoot","Michael Cimino","Michael Cimino","Clint Eastwood"
"The Tigger Movie","Jun Falkenstein","Jun Falkenstein","Jim Cummings"
"Time Bandits","Terry Gilliam","Terry Gilliam","John Cleese"
"The Time Machine","David Duncan","George Pal","Rod Taylor"
"The Time Machine","David Duncan","Simon Wells","Guy Pearce"
"A Time to Kill","Akiva Goldsman","Joel Schumacher","Matthew McConaughey"
"Timecode","Mike Figgis","Mike Figgis","Xander Berkeley"
"Timeline","Michael Crichton","Richard Donner","Paul Walker"
"Tin Cup","John Norville","Ron Shelton","Kevin Costner"
"Tin Men","Barry Levinson","Barry Levinson","Richard Dreyfuss"
"Titan A.E.","John August","Don Bluth","Matt Damon"
"Titanic","James Cameron","James Cameron","Leonardo DiCaprio"
"To Catch a Thief","Alec Coppel","Alfred Hitchcock","Cary Grant"
"To Die For","Buck Henry"," Van","Nicole Kidman"
"To Kill a Mockingbird","Horton Foote","Robert Mulligan","Gregory Peck"
"To Sir  with Love","E.R. Braithwaite","James Clavell","Sidney Poitier"
"Tom Jones","Henry Fielding","Tony Richardson","George Devine"
"Tomcats","Gregory Poirier","Gregory Poirier","Jerry O'Connell"
"Tommy","John Entwistle","Ken Russell","Oliver Reed"
"Tomorrow Never Dies","Bruce Feirstein","Roger Spottiswoode","Pierce Brosnan"
"Top Gun","Jim Cash","Tony Scott","Tom Cruise"
"Top Hat"," "," ",""
"Topaz","Samuel Taylor","Alfred Hitchcock","Frederick Stafford"
"El Topo"," "," ",""
"Tora! Tora! Tora!","Ladislas Farago","Richard Fleischer","Martin Balsam"
"Torn Curtain","Willis Hall","Alfred Hitchcock","Paul Newman"
"Torque","Matt Johnson","Joseph Kahn","John Ashker"
"Total Recall","Philip Dick","Paul Verhoeven","Arnold Schwarzenegger"
"Touch of Evil","Franklin Coen","Orson Welles","Charlton Heston"
"The Towering Inferno","Frank Robinson","John Guillermin","Steve McQueen"
"Town & Country","Buck Henry","Peter Chelsom","Warren Beatty"
"Toy Story","Joel Cohen","John Lasseter","Tom Hanks"
"Toy Story 2","Ash Brannon","Ash Brannon","Tom Hanks"
"Traffic","Stephen Gaghan","Steven Soderbergh","Del"
"The Train","Walter Bernstein","John Frankenheimer","Burt Lancaster"
"Training Day","David Ayer","Antoine Fuqua","Denzel Washington"
"Trainspotting","John Hodge","Danny Boyle","Ewan McGregor"
"Trapped","Greg Iles","Luis Mandoki","Charlize Theron"
"Trauma","Dario Argento","Dario Argento","Christopher Rydell"
"Treasure Planet","Ron Clements","Ron Clements","Roscoe Browne"
"The Treasure of the Sierra Madre","John Huston","John Huston","Humphrey Bogart"
"Trees Lounge","Steve Buscemi","Steve Buscemi","Carol Kane"
"Trekkies"," ","Roger Nygard","Denise Crosby"
"Tremors","Brent Maddock","Ron Underwood","Kevin Bacon"
"The Trigger Effect","James Burke","David Koepp","Kyle MacLachlan"
"Les Triplettes de Belleville"," "," ",""
"Tromeo and Juliet","Andrew Deemer","Lloyd Kaufman","Jane Jensen"
"Tron"," "," ",""
"Trouble in Paradise","Grover Jones","Ernst Lubitsch","Miriam Hopkins"
"The Trouble with Harry","John Hayes","Alfred Hitchcock","Edmund Gwenn"
"Troy","David Benioff","Wolfgang Petersen","Julian Glover"
"True Lies","James Cameron","James Cameron","Arnold Schwarzenegger"
"True Romance","Roger Avary","Tony Scott","Christian Slater"
"The Truman Show","Andrew Niccol","Peter Weir","Jim Carrey"
"Tuck Everlasting","Natalie Babbitt","Jay Russell","Alexis Bledel"
"Tucker: The Man and His Dream","Arnold Schulman","Francis Coppola","Jeff Bridges"
"Tumbleweeds","Gavin O'Connor","Gavin O'Connor","Janet McTeer"
"The Tuxedo","Phil Hay","Kevin Donovan","Jackie Chan"
"Twelve Monkeys"," "," ",""
"Twilight Zone: The Movie","Jerome Bixby","Joe Dante","Dan Aykroyd"
"Twin Falls Idaho","Mark Polish","Michael Polish","Mark Polish"
"Twin Peaks: Fire Walk with Me","Robert Engels","David Lynch","Sheryl Lee"
"Twin Town","Kevin Allen","Kevin Allen","Llyr Ifans"
"Twins","William Davies","Ivan Reitman","Arnold Schwarzenegger"
"Twister","Michael Crichton"," de","Helen Hunt"
"Two Can Play That Game"," "," ",""
"Two Girls and a Guy","James Toback","James Toback","Gregson"
"Two Weeks Notice","Marc Lawrence","Marc Lawrence","Sandra Bullock"
"Two for the Road","Frederic Raphael","Stanley Donen","Audrey Hepburn"
"Two-Lane Blacktop","Will Corry","Monte Hellman","James Taylor"
"U Turn","John Ridley","Oliver Stone","Sean Penn"
"U-571","David Ayer","Jonathan Mostow","Matthew McConaughey"
"U.S. Marshals","Roy Huggins","Stuart Baird","Tommy Jones"
"UHF","Charles Holloway","Jay Levey","Yankovic"
"L' Uccello dalle piume di cristallo"," "," ",""
"Ulee's Gold","Victor Nunez","Victor Nunez","Peter Fonda"
"Ultimo tango a Parigi","Franco Arcalli","Bernardo Bertolucci","Marlon Brando"
"Unbreakable","M. Shyamalan","M. Shyamalan","Bruce Willis"
"Under Siege","J.F. Lawton","Andrew Davis","Steven Seagal"
"Under Siege 2: Dark Territory","Richard Hatem","Geoff Murphy","Steven Seagal"
"Under Suspicion","Michel Audiard","Frances Mayes","Diane Lane"
"Undercover Brother","Michael McCullers","Malcolm Lee","Eddie Griffin"
"Underneath","Daniel Fuchs","Steven Soderbergh","Peter Gallagher"
"Undisputed","David Giler","Walter Hill","Wesley Snipes"
"Une femme est une femme"," "," ",""
"Die Unendliche Geschichte"," "," ",""
"Unfaithful"," Broyles","Adrian Lyne","Diane Lane"
"Unforgettable","Bill Geddie","John Dahl","Ray Liotta"
"The Unforgiven"," Le","John Huston","Burt Lancaster"
"Universal Soldier","Dean Devlin","Roland Emmerich","Van"
"The Unsaid","Christopher Murphey","Tom McLoughlin","Andy Garcia"
"The Untouchables","Oscar Fraley"," De","Kevin Costner"
"Up Close & Personal","Joan Didion","Jon Avnet","Robert Redford"
"The Upside of Anger","Mike Binder","Mike Binder","Joan Allen"
"Urban Legend","Silvio Horta","Jamie Blanks","Jared Leto"
"Urban Legends: Final Cut","Paul Boardman","John Ottman","Jennifer Morrison"
"Urbania","Daniel Reitz","Jon Shear","Dan Futterman"
"The Usual Suspects","Christopher McQuarrie","Bryan Singer","Stephen Baldwin"
"Utomlyonnye solntsem","Rustam Ibragimbekov","Nikita Mikhalkov","Oleg Menshikov"
"Valentine","Gretchen Berg","Jamie Blanks","Denise Richards"
"Valley Girl","Wayne Crawford","Martha Coolidge","Nicolas Cage"
"Valley of the Dolls","Helen Deutsch","Mark Robson","Barbara Parkins"
"Vampire in Brooklyn","Michael Lucker","Wes Craven","Eddie Murphy"
"Vampires","Don Jakoby","John Carpenter","James Woods"
"Van Helsing","Stephen Sommers","Stephen Sommers","Hugh Jackman"
"Van Wilder","Brent Goldberg","Walt Becker","Ryan Reynolds"
"Vanilla Sky"," "," ",""
"Vanity Fair","Matthew Faulk","Mira Nair","Gabriel Byrne"
"Varsity Blues","W. Iliff","Brian Robbins","Beek Van"
"Vatel","Jeanne Labrune","Martha Coolidge","Nicolas Cage"
"Vera Cruz","Borden Chase","Robert Aldrich","Gary Cooper"
"Veronica Guerin","Mary Donoghue","Joel Schumacher","Cate Blanchett"
"Vertical Limit","Terry Hayes","Martin Campbell","Chris O'Donnell"
"Vertigo","Maxwell Anderson","Alfred Hitchcock","James Stewart"
"Very Bad Things","Peter Berg","Peter Berg","Jon Favreau"
"A Very Brady Sequel","James Berg","Arlene Sanford","Shelley Long"
"Videodrome","David Cronenberg","David Cronenberg","James Woods"
"A View to a Kill","Ian Fleming","John Glen","Roger Moore"
"The Vikings","Edison Marshall","Richard Fleischer","Kirk Douglas"
"Village of the Damned","Ronald Kinnoch","Wolf Rilla","George Sanders"
"Village of the Damned","David Himmelstein","John Carpenter","Christopher Reeve"
"The Village","M. Shyamalan","M. Shyamalan","Bryce Howard"
"Le Violon rouge"," "," ",""
"The Virgin Suicides","Sofia Coppola","Sofia Coppola","James Woods"
"Virtuosity","Eric Bernt","Brett Leonard","Denzel Washington"
"Vivre sa vie: Film en douze tableaux","Jean-Luc Godard","Jean-Luc Godard","Anna Karina"
"Vizontele","Yilmaz Erdogan","Yilmaz Erdogan","Yilmaz Erdogan"
"Volcano","Jerome Armstrong","Mick Jackson","Tommy Jones"
"Vor","Pavel Chukhray","Pavel Chukhray","Vladimir Mashkov"
"Wag the Dog","Larry Beinhart","Barry Levinson","Dustin Hoffman"
"Wait Until Dark","Jane-Howard Carrington","Terence Young","Audrey Hepburn"
"Waiting for Guffman","Christopher Guest","Christopher Guest","Deborah Theaker"
"Waiting to Exhale","Ronald Bass","Forest Whitaker","Whitney Houston"
"Waking Ned","Kirk Jones","Kirk Jones","Ian Bannen"
"A Walk in the Clouds"," de","Alfonso Arau","Keanu Reeves"
"A Walk on the Moon","Pamela Gray","Tony Goldwyn","Bobby Boriello"
"A Walk to Remember","Karen Janszen","Adam Shankman","Shane West"
"Walking Tall","Mort Briskin","Kevin Bray","Michael Bowen"
"Walking and Talking","Nicole Holofcener","Nicole Holofcener","Amy Braverman"
"Wall Street","Oliver Stone","Oliver Stone","Charlie Sheen"
"War and Peace","Bridget Boland","King Vidor","Audrey Hepburn"
"The War of the Worlds"," "," ",""
"WarGames","Walon Green","John Badham","Matthew Broderick"
"Warlock","David Twohy","Steve Miner","Julian Sands"
"Warlock: The Armageddon","Sam Bernard","Anthony Hickox","Julian Sands"
"The Wash","DJ Pooh","DJ Pooh","Anthony Albano"
"The Watcher"," "," ",""
"The Waterboy","Tim Herlihy","Frank Coraci","Adam Sandler"
"Waterworld","Peter Rader","Kevin Reynolds","Kevin Costner"
"The Way of the Gun","Christopher McQuarrie","Christopher McQuarrie","Ryan Phillippe"
"We Don't Live Here Anymore","Andre Dubus","John Curran","Mark Ruffalo"
"We Were Soldiers","Joseph Galloway","Randall Wallace","Mel Gibson"
"We're No Angels","Albert Husson","Michael Curtiz","Humphrey Bogart"
"We're No Angels","Albert Husson","Neil Jordan","De"
"The Wedding Date","Dana Fox","Clare Kilner","Debra Messing"
"The Wedding Planner","Michael Ellis","Adam Shankman","Jennifer Lopez"
"Week End"," "," ",""
"The Weight of Water","Alice Arlen","Kathryn Bigelow","Ciary Hinds"
"Welcome to Collinwood","Anthony Russo","Anthony Russo","William Macy"
"Welcome to Mooseport","Doug Richardson","Donald Petrie","Gene Hackman"
"Welcome to Sarajevo"," Cottrell","Michael Winterbottom","Stephen Dillane"
"Welcome to the Dollhouse","Todd Solondz","Todd Solondz","Heather Matarazzo"
"Werewolf"," "," ",""
"West Side Story","Arthur Laurents","Jerome Robbins","Natalie Wood"
"What Dreams May Come","Ronald Bass","Vincent Ward","Robin Williams"
"What Ever Happened to Baby Jane?","Henry Farrell","Robert Aldrich","Bette Davis"
"What Lies Beneath","Clark Gregg","Robert Zemeckis","Michelle Pfeiffer"
"What Planet Are You From?","Michael Leeson","Mike Nichols","Garry Shandling"
"What Women Want","Diane Drake","Nancy Meyers","Mel Gibson"
"What a Girl Wants","Jenny Bicks","Dennie Gordon","Amanda Bynes"
"What's Eating Gilbert Grape","Peter Hedges","Sam Weisman","Martin Lawrence"
"What's the Worst That Could Happen?","Matthew Chapman","Sam Weisman","Martin Lawrence"
"Whatever It Takes","Mark Schwahn","David Raynr","Jodi O'Keefe"
"When Harry Met Sally...","Nora Ephron","Rob Reiner","Billy Crystal"
"When Worlds Collide"," "," ",""
"When a Stranger Calls","Steve Feke","Fred Walton","Carol Kane"
"Where the Heart Is","Lowell Ganz","Matt Williams","Natalie Portman"
"Where the Money Is","Carroll Cartwright","Marek Kanievska","Paul Newman"
"While You Were Sleeping","Fredric LeBow","Jon Turteltaub","Sandra Bullock"
"Whipped","Peter Cohen","Peter Cohen","Amanda Peet"
"White Oleander","Mary Donoghue","Peter Kosminsky","Amy Aquino"
"White Squall"," Gieg","Ridley Scott","Jeff Bridges"
"White Zombie","William Seabrook","Victor Halperin","Bela Lugosi"
"Who Framed Roger Rabbit","Jeffrey Price","Robert Zemeckis","Bob Hoskins"
"Who's Afraid of Virginia Woolf?","Edward Albee","Mike Nichols","Elizabeth Taylor"
"Who's That Knocking at My Door"," "," ",""
"The Whole Nine Yards","Mitchell Kapner","Jonathan Lynn","Bruce Willis"
"The Whole Ten Yards","George Gallo","Howard Deutch","Bruce Willis"
"The Whole Wide World","Novalyne Ellis","Dan Ireland","Vincent D'Onofrio"
"Wicker Park","Brandon Boyce","Paul McGuigan","Josh Hartnett"
"Wide Awake","M. Shyamalan","M. Shyamalan","Joseph Cross"
"The Wild Bunch","Walon Green","Sam Peckinpah","William Holden"
"The Wild Geese","Daniel Carney","Andrew McLaglen","Richard Burton"
"Wild Things","Stephen Peters","John McNaughton","Kevin Bacon"
"The Wild Thornberrys Movie","Kate Boutilier","Cathy Malkasian","Lacey Chabert"
"Wild Wild West","Brent Maddock","Barry Sonnenfeld","Will Smith"
"Wild at Heart","Barry Gifford","David Lynch","Nicolas Cage"
"Wilde","Richard Ellmann","Brian Gilbert","Stephen Fry"
"Willard","Stephen Gilbert","Glen Morgan","Crispin Glover"
"Willow","Bob Dolman","Ron Howard","Val Kilmer"
"Willy Wonka & the Chocolate Factory","Roald Dahl","Mel Stuart","Gene Wilder"
"Wimbledon","Adam Brooks","Richard Loncraine","Kirsten Dunst"
"Win a Date with Tad Hamilton!","Victor Levin","Robert Luketic","Kate Bosworth"
"The Wind and the Lion","John Milius","John Milius","Sean Connery"
"Windtalkers","Joe Batteer","John Woo","Nicolas Cage"
"Wing Commander","Kevin Droney","Chris Roberts","Prinze"
"Wings","Julian Johnson","Harry d'Arrast","Clara Bow"
"Wise Guys","George Gallo"," De","Danny DeVito"
"Wisegirls"," "," ",""
"Wishmaster","Peter Atkins","Robert Kurtzman","Tammy Lauren"
"Without Limits","Kenny Moore","Robert Towne","Billy Crudup"
"Without a Paddle","Harris Goldberg","Steven Brill","Matthew Price"
"Witness","William Kelley","Peter Weir","Harrison Ford"
"Witness for the Prosecution","Agatha Christie","Billy Wilder","Tyrone Power"
"The Wizard of Oz","L. Baum","George Cukor","Judy Garland"
"Wizards","Ralph Bakshi","Ralph Bakshi","Bob Holt"
"Wo hu cang long","Wang Du","Ang Lee","Yun-Fat Chow"
"Wolf","Jim Harrison","Mike Nichols","Jack Nicholson"
"The Wolf Man","Curt Siodmak","George Waggner","Chaney"
"Woman on Top","Vera Blasi","Fina Torres","PenMOV Cruz"
"Wonder Boys","Michael Chabon","Curtis Hanson","Michael Douglas"
"The Wood","Todd Boyd","Rick Famuyiwa","Elayn Taylor"
"Woodstock"," ","Michael Wadleigh","Richie Havens"
"The World Is Not Enough","Bruce Feirstein","Michael Apted","Pierce Brosnan"
"The Wraith","Mike Marvin","Mike Marvin","Charlie Sheen"
"The Wrong Man","Maxwell Anderson","Alfred Hitchcock","Henry Fonda"
"Wyatt Earp","Dan Gordon","Lawrence Kasdan","Kevin Costner"
"X","Robert Dillon","Roger Corman","Ray Milland"
"The X Files","Chris Carter","Rob Bowman","David Duchovny"
"X-Men","Tom DeSanto","Bryan Singer","Hugh Jackman"
"X2","Michael Dougherty","Bryan Singer","Patrick Stewart"
"Xanadu","Richard Danus","Robert Greenwald","Olivia Newton-John"
"The Yards","James Gray","James Gray","Mark Wahlberg"
"The Yearling","John Mahin","Clarence Brown","Gregory Peck"
"Yentl","Jack Rosenthal","Barbra Streisand","Barbra Streisand"
"Ying xiong","Feng Li","Yimou Zhang","Jet Li"
"You Can Count on Me","Kenneth Lonergan","Kenneth Lonergan","Laura Linney"
"You Can't Take It with You"," "," ",""
"You Got Served","Chris Stokes","Chris Stokes","Omarion Grandberry"
"You Only Live Twice","Harold Bloom","Lewis Gilbert","Sean Connery"
"You've Got Mail","Delia Ephron","Nora Ephron","Tom Hanks"
"Young Frankenstein","Mel Brooks","Mel Brooks","Gene Wilder"
"Young Guns","John Fusco","Christopher Cain","Emilio Estevez"
"Young Sherlock Holmes","Chris Columbus","Barry Levinson","Nicholas Rowe"
"Your Friends & Neighbors","Neil LaBute","Neil LaBute","Amy Brenneman"
"Yours  Mine and Ours","Helen Beardsley","Melville Shavelson","Lucille Ball"
"Yume"," "," ",""
"Zabriskie Point","Michelangelo Antonioni","Michelangelo Antonioni","Mark Frechette"
"Zardoz","John Boorman","John Boorman","Sean Connery"
"Zero Effect","Jake Kasdan","Jake Kasdan","Bill Pullman"
"Zivot je cudo","Ranko Bozic","Emir Kusturica","Slavko Stimac"
"The Zookeeper","Matthew Bishop","Ralph Ziman","Sam Neill"
"Zoolander","John Hamburg","Ben Stiller","Ben Stiller"
"xXx","Rich Wilkes","Rob Cohen","Vin Diesel"
"xXx: State of the Union","Simon Kinberg","Lee Tamahori","Willem Dafoe"